City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3hrs),Snow inches (last 3hrs)
108,Muleba,TZ,2020-05-10 17:30:49,-1.84,31.65,70.43,78,95,6.11,overcast clouds,0,0
109,Tignere,CM,2020-05-10 17:30:49,7.37,12.65,67.15,95,73,5.14,heavy intensity rain,0,0
110,Wewak,PG,2020-05-10 17:30:49,-3.55,143.63,80.8,84,96,7.25,light rain,0,0
111,San Quintin,MX,2020-05-10 17:30:50,30.48,-115.95,69.15,69,29,9.28,scattered clouds,0,0
112,Vaini,TO,2020-05-10 17:30:50,-21.2,-175.2,71.6,100,20,2.24,few clouds,0,0
113,Olga,RU,2020-05-10 17:30:50,43.74,135.29,44.89,94,89,1.52,overcast clouds,0,0
114,Saint-Philippe,RE,2020-05-10 17:30:50,-21.36,55.77,71.6,64,77,9.17,broken clouds,0,0
115,Chokurdakh,RU,2020-05-10 17:30:50,70.63,147.92,28.31,98,100,15.75,overcast clouds,0,0
116,Porvoo,FI,2020-05-10 17:30:50,60.39,25.67,53.01,53,97,6.78,overcast clouds,0,0
117,Narasannapeta,IN,2020-05-10 17:30:51,18.42,84.05,83.3,79,32,9.95,scattered clouds,0,0
118,Cockburn Town,TC,2020-05-10 17:30:51,21.46,-71.14,80.64,81,83,23.29,broken clouds,0,0
119,Jamestown,US,2020-05-10 17:30:51,42.1,-79.24,55.0,37,90,18.34,overcast clouds,0,0
120,Shache,CN,2020-05-10 17:30:52,38.42,77.24,61.47,61,90,8.37,moderate rain,0,0
121,Biak,ID,2020-05-10 17:30:52,-0.91,122.88,77.63,81,97,4.36,light rain,0,0
122,Pangnirtung,CA,2020-05-10 17:30:52,66.15,-65.71,24.8,73,90,19.46,light snow,0,0
123,Sitka,US,2020-05-10 17:30:52,57.05,-135.33,64.4,42,40,3.36,scattered clouds,0,0
