City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Souillac,MU,-20.52,57.52,73.4,88,40,3.36
137,Lakatoro,VU,-16.1,167.42,71.62,88,100,24.54
138,Ilhabela,BR,-23.78,-45.36,74.1,73,79,12.64
139,Gerash,IR,27.67,54.14,78.8,39,100,6.93
140,Dingle,PH,11.0,122.67,79.56,79,64,3.4
141,Vestmannaeyjar,IS,63.44,-20.27,46.4,70,40,20.8
142,Pemangkat,ID,1.17,108.97,78.75,88,35,4.07
143,Dombarovskiy,RU,50.76,59.54,55.65,47,0,11.23
144,Krasnoselkup,RU,65.7,82.47,31.55,99,100,7.18
145,Zanesville,US,39.94,-82.01,57.0,46,75,12.75
146,Youghal,IE,51.95,-7.85,51.01,93,75,14.99
147,Petrokamenskoye,RU,57.72,60.65,55.49,62,0,3.22
148,Chokurdakh,RU,70.63,147.92,18.32,97,97,4.63
149,Hasaki,JP,35.73,140.83,55.4,100,40,8.05
150,Malakal,SS,9.53,31.66,91.65,35,78,4.88
151,Cedar City,US,37.68,-113.06,78.8,9,1,11.41
152,Hithadhoo,MV,-0.6,73.08,84.4,75,0,9.1
153,Rocha,UY,-34.48,-54.33,56.19,68,47,15.35
154,Narsaq,GL,60.92,-46.05,44.6,75,75,8.05
155,Mandalgovi,MN,45.76,106.27,40.44,66,6,23.4
156,Najran,SA,17.49,44.13,80.6,51,75,11.41
157,Portland,US,45.52,-122.68,60.01,62,75,11.41
158,Riacho De Santana,BR,-13.61,-42.94,86.0,51,46,4.7
159,Ostrovnoy,RU,68.05,39.51,34.66,87,100,14.79
160,Churachandpur,IN,24.33,93.67,64.74,95,0,1.83
161,Saskylakh,RU,71.92,114.08,-4.38,91,93,5.5
162,Ladario,BR,-19.0,-57.6,68.0,94,90,16.11
